Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_ID,Ride_Date,Ride_Time,Pickup_Location,Drop_Location,Ride_Duration_Minutes,Distance_KM,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Rainfall_mm,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Traffic_Congestion_Level,Traffic_Avg_Speed_KMH,Road_Accidents_Reported,Nearby_CCTV_Cameras,Uber_Ola_Route_Overlap,Public_Complaints,Time_of_Day,Passenger_Gender,Num_Police_Stations_Nearby
1,Delhi,2023-01-24,10:14,Harassment,Juhu,24.334915130352496,74.10421396458436,1.0,2,1,1,66156,2024-11-09,11:12,Karol Bagh,Lajpat Nagar,97,15.397177384420687,275.06973134893076,2.0,2.1,Cancelled,31.960277732959064,10,3.283636133318887,69,37,Rainy,8,48.082783026284844,4,8,1,3,Night,Female,4
2,Mumbai,2024-04-08,02:39,Burglary,Saket,22.361341052606083,73.3005462679319,8.0,54,1,0,35848,2023-11-15,14:35,Bandra,Dwarka,105,13.972466062125015,1008.6178507755512,1.2,2.1,Completed,34.393833827377556,0,1.476427623352197,67,6,Foggy,9,39.31929424071321,2,6,1,5,Morning,Male,4
3,Delhi,2023-12-04,09:46,Fraud,Bandra,24.69402829258378,75.51308425488648,10.0,12,1,1,77315,2023-03-13,21:17,Lajpat Nagar,Juhu,6,10.073336789641262,638.7464927330985,1.0,1.3,Completed,30.661429373906426,5,5.489575653225708,64,24,Cloudy,3,44.65482181649978,2,3,1,0,Morning,Male,2
4,Delhi,2023-10-14,22:38,Harassment,Lajpat Nagar,23.201538209497958,74.08857328504725,3.0,40,0,1,60852,2024-03-20,05:03,Bandra,Connaught Place,52,5.585101820092557,1000.6844017380009,1.5,1.5,Completed,41.60509247514859,20,3.7714924676885597,98,49,Foggy,3,8.001501982149266,2,7,0,3,Morning,Female,2
5,Delhi,2023-01-03,14:37,Theft,Dwarka,25.20731171136813,75.94435823696799,4.0,2,0,1,58548,2024-02-13,21:57,Saket,Saket,5,7.329591150128927,1144.4463586054987,1.5,1.9,Completed,32.91725666362788,5,5.851537584452238,85,26,Rainy,5,50.07334744364314,0,0,1,5,Night,Male,1
6,Mumbai,2023-04-17,13:40,Burglary,Connaught Place,20.25986155158983,72.0938839076524,4.0,41,1,1,67151,2024-12-14,11:22,Bandra,Connaught Place,63,2.014779623203306,865.8954076482875,2.0,1.0,Completed,24.85501772358109,20,4.2804678192160726,64,39,Foggy,2,18.220990471195908,3,2,0,9,Afternoon,Female,3
7,Delhi,2023-09-07,19:21,Fraud,Saket,29.96689553093806,72.38624930109023,5.0,16,1,0,20426,2023-04-24,21:41,Saket,Andheri,36,26.343806137998683,981.5939599295963,1.0,1.2,Completed,39.59554854004722,30,4.102349695989724,89,30,Cloudy,8,10.049361024381081,3,6,1,6,Afternoon,Female,3
8,Delhi,2024-04-15,17:24,Theft,Connaught Place,23.681114654663894,72.59796691638749,3.0,30,0,1,22536,2023-06-24,11:46,Colaba,Lajpat Nagar,92,23.418835057168693,359.6155005376242,1.2,3.8,Completed,27.134879917610416,20,9.163824623653868,38,7,Sunny,5,41.35750721176914,2,1,0,9,Evening,Other,1
9,Delhi,2024-01-25,15:59,Theft,Bandra,22.830537036781056,74.51396211186139,9.0,57,1,1,86887,2024-03-07,10:48,Bandra,Andheri,6,8.123108006930778,909.4143543285312,1.5,3.5,Completed,28.555714586653117,20,6.841584583063947,53,45,Sunny,5,16.989220756220934,2,7,1,4,Morning,Other,4
10,Mumbai,2023-12-14,17:00,Theft,Juhu,26.812308331478913,76.88877703595986,4.0,47,1,1,74556,2023-04-20,07:43,Dadar,Colaba,63,2.066922536674149,717.6877187531112,1.0,4.8,Completed,30.379782640778807,30,6.862208460627018,56,25,Sunny,6,27.357912711462397,2,3,0,2,Morning,Female,2
11,Delhi,2024-05-05,10:21,Theft,Saket,23.002893471448658,77.3290674622703,10.0,46,1,0,79519,2024-05-09,10:17,Colaba,Bandra,7,15.779256536137098,670.6766463579507,1.5,2.6,Completed,21.297464049826623,10,1.770345875185059,78,33,Sunny,8,43.93514013152508,2,3,1,8,Afternoon,Female,1
12,Delhi,2023-06-04,10:22,Harassment,Karol Bagh,28.166017355316335,73.46886444036541,4.0,52,1,1,90117,2023-09-17,09:59,Dadar,Saket,77,13.552049580821976,,1.5,2.8,Completed,35.28889414082777,20,4.2018106672343825,65,5,Cloudy,8,10.646211062283069,3,2,1,9,Morning,Female,4
13,Delhi,2023-07-04,14:09,Harassment,Juhu,23.99697796796468,75.44621834543409,6.0,36,1,0,58030,2023-07-16,01:28,Saket,Saket,53,23.728185397577644,500.8398405795095,1.5,1.3,Completed,13.434416548964572,30,7.746292198151773,82,25,Sunny,8,12.025387186374568,4,9,0,7,Night,Female,0
14,Delhi,2024-06-20,14:54,Harassment,Colaba,26.915142545919785,76.61018995615561,8.0,4,0,1,91306,2023-09-24,16:45,Saket,Colaba,92,13.2810741875305,492.7352604603213,1.2,1.6,Completed,40.409722055702375,20,5.886008567225389,98,9,Cloudy,1,41.56946907989596,3,7,1,9,Morning,Male,1
15,Mumbai,2024-01-24,23:31,Fraud,Lajpat Nagar,20.181985380860752,73.73297657951765,,11,1,1,17385,2024-01-20,18:43,Andheri,Lajpat Nagar,80,26.195158610665235,1064.5743205282788,1.2,3.8,Completed,36.408821328931595,5,4.873451911011931,21,47,Rainy,1,29.729095085769824,2,5,0,0,Night,Female,1
16,Delhi,2024-09-04,06:34,Fraud,Dwarka,28.30731104110623,74.45404642041764,4.0,53,1,1,66746,2023-01-22,13:29,Bandra,Dadar,38,4.68347041382708,858.8096459616845,1.5,1.9,Completed,22.377113068108727,30,9.741217200124806,57,7,Cloudy,1,17.166301127516654,1,8,1,1,Evening,Male,4
17,Mumbai,2024-02-18,22:10,Fraud,Juhu,27.092897854559208,75.14384521611429,4.0,24,1,1,32542,2023-10-23,14:44,Connaught Place,Bandra,66,12.244026415071344,93.4305556773132,1.2,4.1,Completed,17.923758675952133,0,1.7955039400348054,91,30,Cloudy,8,33.36841548093442,4,7,1,1,Evening,Male,0
18,Mumbai,2024-11-20,21:24,Assault,Connaught Place,21.328884563081623,72.80924907844829,5.0,18,0,1,30223,2023-09-27,16:55,Andheri,Lajpat Nagar,38,28.15034516272446,120.36158361436117,1.0,3.8,Cancelled,23.576428093597862,20,2.0272348648462053,79,48,Rainy,4,39.0244064341841,1,9,1,8,Afternoon,Female,2
19,Mumbai,2024-10-07,08:25,Fraud,Juhu,20.598146107203654,72.15589376235468,10.0,27,1,1,45504,2024-04-03,16:34,Andheri,Bandra,27,2.3284294251526063,876.6725515199287,1.0,4.0,Completed,38.17684021186697,20,5.850846688328928,94,32,Foggy,3,27.278795034501805,0,3,1,5,Afternoon,Female,1
20,Delhi,2023-01-22,01:42,Harassment,Lajpat Nagar,22.47921583598187,72.9168348559097,5.0,37,1,1,62558,2023-04-22,18:59,Andheri,Bandra,23,12.94210387219389,,1.5,3.8,Completed,11.104977759983925,5,4.349186735145334,48,40,Sunny,2,14.511366171492746,2,7,0,8,Morning,Male,1
21,Mumbai,2023-05-03,18:05,Harassment,Juhu,29.736776446350948,75.7611217275212,1.0,2,1,0,94694,2023-07-13,05:41,Bandra,Dwarka,56,9.271691281862864,113.76782625298692,2.0,3.8,Completed,26.377348991228825,5,5.066495051364065,79,39,Cloudy,9,40.613416769319215,1,8,0,7,Evening,Female,1
22,Delhi,2023-02-13,20:31,Assault,Dadar,21.825147320237644,72.44170956920209,,15,0,0,63784,2023-02-11,22:57,Dwarka,Bandra,64,16.892100228406186,785.4500544596647,1.0,3.2,Completed,18.893857450481033,0,5.70480686590459,88,49,Rainy,4,11.666384345115215,2,5,0,5,Evening,Male,2
23,Mumbai,2024-08-21,17:22,Assault,Saket,24.01739929841297,73.13817818910077,10.0,11,1,1,35067,2024-09-11,23:08,Dadar,Connaught Place,100,9.805470407801584,1284.1462944832685,1.2,3.7,Completed,40.623298997200465,30,1.7109666659231362,56,25,Foggy,8,40.9444419603399,2,5,1,5,Morning,Male,2
24,Mumbai,2024-03-12,02:13,Fraud,Andheri,19.3302224828907,74.02712331417182,5.0,27,0,1,20051,2023-06-06,03:48,Saket,Connaught Place,117,26.357425272921226,56.4495682433024,1.2,3.1,Completed,24.4844550863306,0,3.0661521040736943,31,27,Cloudy,1,19.896171226879744,0,9,1,5,Evening,Other,0
25,Mumbai,2024-04-22,23:33,Burglary,Connaught Place,23.369502825228558,72.4672203858382,3.0,56,1,1,53299,2024-04-06,01:47,Saket,Colaba,32,28.239871079891678,449.90116602261884,1.0,1.8,Completed,34.426441475821434,0,5.602979744167332,99,6,Rainy,1,5.0767254886931905,4,8,0,4,Evening,Female,0
26,Mumbai,2024-12-22,11:19,Assault,Saket,25.28452016976413,73.1501956269698,3.0,49,1,1,35167,2023-02-20,01:29,Connaught Place,Dadar,94,25.775760318070336,13838.843166017592,2.0,1.9,Completed,22.526237161660404,10,2.338764570314481,56,9,Sunny,6,30.61937946656184,2,9,1,0,Afternoon,Male,3
27,Mumbai,2023-10-21,09:48,Theft,Dwarka,29.484370737587618,77.46761873390106,4.0,48,1,0,45502,2024-01-10,04:43,Karol Bagh,Karol Bagh,53,13.15989966638258,168.13095391777836,1.5,2.6,Completed,21.539488385987873,0,8.476101514536357,77,7,Sunny,9,22.04863460241471,4,8,1,5,Evening,Female,3
28,Mumbai,2023-09-24,10:28,Harassment,Dwarka,24.684096494340707,72.11579479336191,,47,1,1,66039,2024-11-22,21:00,Colaba,Juhu,49,29.718145435013565,930.1448923742554,1.0,1.1,Completed,21.405550595920687,20,7.94313471710069,74,13,Foggy,1,17.61746762224545,3,3,1,0,Afternoon,Other,2
29,Mumbai,2023-03-15,21:29,Theft,Bandra,28.010180587954565,75.92059154504618,5.0,23,1,0,77028,2023-03-01,08:01,Lajpat Nagar,Connaught Place,80,22.581016865477366,785.7034165690241,1.2,4.6,Completed,33.736111390808574,0,5.897616987972521,40,45,Rainy,5,32.41713597474473,0,5,1,7,Morning,Female,1
30,Mumbai,2024-05-21,00:09,Harassment,Connaught Place,25.018404068257908,74.30645358549111,1.0,35,1,1,10682,2024-04-20,19:19,Dadar,Andheri,111,11.957050225601332,269.9350765658734,2.0,2.1,Completed,43.74843127503703,5,5.201805862328344,27,26,Foggy,9,23.514736796112107,3,4,0,6,Afternoon,Male,2
31,Delhi,2023-11-11,19:37,Harassment,Lajpat Nagar,19.4486351477907,76.03589243659422,5.0,52,0,1,35204,2024-11-01,15:48,Bandra,Dwarka,99,4.623398993566262,111.60616447991035,1.5,1.2,Completed,17.28506638642404,5,9.330804068462895,40,24,Foggy,8,21.226087039787874,0,4,0,3,Evening,Female,3
32,Delhi,2023-04-27,05:39,Assault,Karol Bagh,22.465091027087514,75.53215032218043,5.0,30,0,1,73159,2024-08-09,02:07,Saket,Juhu,64,20.677299658688405,778.7512975295257,1.2,2.7,Cancelled,32.53654321333287,20,7.647203287044477,86,45,Sunny,8,46.941916507617954,1,8,0,6,Morning,Other,3
